"pc","ca"
0AA,E08000017
0AB,E08000017
0AD,E08000017
0AE,E08000017
0AF,E08000017
0AG,E08000017
0AH,E08000017
0AJ,E08000017
0AL,E08000017
0AN,E08000017
0AP,E08000017
0AQ,E08000017
0AR,E08000017
0AS,E08000017
0AT,E08000017
0AU,E08000017
0AW,E08000017
0AX,E08000017
0AY,E08000017
0AZ,E08000017
0BA,E08000017
0BB,E08000017
0BD,E08000017
0BE,E08000017
0BH,E08000017
0BJ,E08000017
0BL,E08000017
0BN,E08000017
0BP,E08000017
0BS,E08000017
0BT,E08000017
0BU,E08000017
0BW,E08000017
0BX,E08000017
0BY,E08000017
0BZ,E08000017
0DA,E08000017
0DB,E08000017
0DD,E08000017
0DE,E08000017
0DF,E08000017
0DG,E08000017
0DH,E08000017
0DJ,E08000017
0DL,E08000017
0DN,E08000017
0DP,E08000017
0DQ,E08000017
0DR,E08000017
0DS,E08000017
0DT,E08000017
0DU,E08000017
0DW,E08000017
0DY,E08000017
0DZ,E08000017
0EA,E08000017
0EB,E08000017
0EE,E08000017
0EF,E08000017
0EG,E08000017
0EH,E08000017
0EJ,E08000017
0EL,E08000017
0EN,E08000017
0EP,E08000017
0EQ,E08000017
0ER,E08000017
0ES,E08000017
0ET,E08000017
0EU,E08000017
0EW,E08000017
0EX,E08000017
0EY,E08000017
0EZ,E08000017
0FB,E08000017
0FD,E08000017
0FE,E08000017
0FF,E08000017
0FG,E08000017
0FH,E08000017
0FJ,E08000017
0FL,E08000017
0FN,E08000017
0FP,E08000017
0FQ,E08000017
0FR,E08000017
0FS,E08000017
0FT,E08000017
0FW,E08000017
0FX,E08000017
0FY,E08000017
0FZ,E08000017
0GT,E08000017
0HA,E08000017
0HB,E08000017
0HD,E08000017
0HF,E08000017
0HG,E08000017
0HH,E08000017
0HJ,E08000017
0HL,E08000017
0HN,E08000017
0HP,E08000017
0HQ,E08000017
0HR,E08000017
0HT,E08000017
0HU,E08000017
0HW,E08000017
0HX,E08000017
0HY,E08000017
0HZ,E08000017
0JA,E08000017
0JB,E08000017
0JD,E08000017
0JE,E08000017
0JF,E08000017
0JG,E08000017
0JH,E08000017
0JJ,E08000017
0JL,E08000017
0JN,E08000017
0JP,E08000017
0JQ,E08000017
0JR,E08000017
0JS,E08000017
0JT,E08000017
0JU,E08000017
0JW,E08000017
0JX,E08000017
0JY,E08000017
0JZ,E08000017
0LA,E08000017
0LE,E08000017
0LF,E08000017
0LG,E08000017
0LH,E08000017
0LJ,E08000017
0LL,E08000017
0LN,E08000017
0LP,E08000017
0LR,E08000017
0LS,E08000017
0LT,E08000017
0LU,E08000017
0LW,E08000017
0LX,E08000017
0LY,E08000017
0LZ,E08000017
0NB,E08000017
0ND,E08000017
0NE,E08000017
0NF,E08000017
0NG,E08000017
0NH,E08000017
0NJ,E08000017
0NL,E08000017
0NN,E08000017
0NP,E08000017
0NQ,E08000017
0NR,E08000017
0NS,E08000017
0NW,E08000017
0NY,E08000017
0NZ,E08000017
0PD,E08000017
0PE,E08000017
0PF,E08000017
0PG,E08000017
0PH,E08000017
0PJ,E08000017
0PL,E08000017
0PP,E08000017
0PQ,E08000017
0PR,E08000017
0PS,E08000017
0PU,E08000017
0PW,E08000017
0PX,E08000017
0PY,E08000017
0QA,E08000017
0QB,E08000017
0QD,E08000017
0QE,E08000017
0QF,E08000017
0QG,E08000017
0QP,E08000017
0QR,E08000017
0QS,E08000017
0QT,E08000017
0QU,E08000017
0QW,E08000017
0QX,E08000017
0QY,E08000017
0QZ,E08000017
0RA,E08000017
0RB,E08000017
0RD,E08000017
0RE,E08000017
0RG,E08000017
0RH,E08000017
0RJ,E08000017
0RL,E08000017
0RN,E08000017
