"pc","ca"
1AA,E06000004
1AB,E06000004
1AD,E06000004
1AE,E06000004
1AF,E06000004
1AG,E06000004
1AH,E06000004
1AJ,E06000004
1AN,E06000004
1AR,E06000004
1AT,E06000004
1AU,E06000004
1AW,E06000004
1AX,E06000004
1AY,E06000004
1AZ,E06000004
1BA,E06000004
1BB,E06000004
1BD,E06000004
1BE,E06000004
1BF,E06000004
1BG,E06000004
1BH,E06000004
1BJ,E06000004
1BL,E06000004
1BN,E06000004
1BQ,E06000004
1BS,E06000004
1BT,E06000004
1BU,E06000004
1BW,E06000004
1BX,E06000004
1BY,E06000004
1BZ,E06000004
1DA,E06000004
1DB,E06000004
1DD,E06000004
1DE,E06000004
1DF,E06000004
1DG,E06000004
1DH,E06000004
1DJ,E06000004
1DL,E06000004
1DN,E06000004
1DP,E06000004
1DQ,E06000004
1DR,E06000004
1DS,E06000004
1DT,E06000004
1DU,E06000004
1DW,E06000004
1DX,E06000004
1DY,E06000004
1DZ,E06000004
1EA,E06000004
1EB,E06000004
1ED,E06000004
1EE,E06000004
1EG,E06000004
1EH,E06000004
1EJ,E06000004
1EL,E06000004
1EN,E06000004
1EP,E06000004
1EQ,E06000004
1ER,E06000004
1ES,E06000004
1ET,E06000004
1EU,E06000004
1EW,E06000004
1EX,E06000005
1EY,E06000005
1EZ,E06000005
1FA,E06000004
1FB,E06000004
1FD,E06000004
1FE,E06000004
1GL,E06000005
1HA,E06000005
1HB,E06000005
1HD,E06000005
1HE,E06000005
1HF,E06000005
1HG,E06000005
1HH,E06000005
1HJ,E06000005
1HL,E06000005
1HN,E06000005
1HP,E06000005
1HQ,E06000005
1HR,E06000004
1HS,E06000004
1HT,E06000004
1HU,E06000004
1HW,E06000005
1HX,E06000005
1HY,E06000004
1JD,E06000004
1JE,E06000004
1JF,E06000004
1JG,E06000004
1JH,E06000004
1JJ,E06000004
1JL,E06000004
1JN,E06000004
1JP,E06000004
1JQ,E06000004
1JR,E06000004
1JS,E06000004
1JU,E06000004
1JX,E06000004
1JY,E06000004
1LB,E06000004
1LD,E06000004
1LE,E06000004
1LF,E06000004
1LG,E06000004
1LH,E06000004
1LJ,E06000005
