"pc","ca"
0AA,E08000034
0AB,E08000034
0AD,E08000034
0AE,E08000034
0AG,E08000034
0AH,E08000034
0AJ,E08000034
0AL,E08000034
0AP,E08000034
0AQ,E08000034
0AR,E08000034
0AS,E08000034
0AT,E08000034
0AU,E08000034
0AW,E08000034
0AX,E08000034
0AY,E08000034
0BA,E08000034
0BB,E08000034
0BD,E08000034
0BE,E08000034
0BG,E08000034
0BH,E08000034
0BJ,E08000034
0BL,E08000035
0BN,E08000034
0BP,E08000034
0BQ,E08000034
0BS,E08000034
0BT,E08000034
0BU,E08000034
0BX,E08000034
0BY,E08000034
0BZ,E08000034
0DA,E08000034
0DD,E08000034
0DE,E08000034
0DF,E08000034
0DG,E08000034
0DH,E08000034
0DJ,E08000034
0DL,E08000034
0DN,E08000034
0DP,E08000034
0DQ,E08000034
0DR,E08000034
0DS,E08000034
0DT,E08000034
0DU,E08000034
0DW,E08000034
0DX,E08000034
0DY,E08000034
0DZ,E08000034
0EA,E08000034
0EB,E08000034
0ED,E08000034
0EE,E08000034
0EF,E08000034
0EG,E08000034
0EH,E08000034
0EJ,E08000034
0EL,E08000034
0EN,E08000034
0EQ,E08000034
0ER,E08000034
0ES,E08000034
0ET,E08000034
0EU,E08000034
0EW,E08000034
0EX,E08000034
0EY,E08000034
0EZ,E08000034
0HA,E08000034
0HB,E08000034
0HD,E08000034
0HE,E08000034
0HF,E08000034
0HG,E08000034
0HH,E08000034
0HJ,E08000034
0HL,E08000034
0HN,E08000034
0HP,E08000034
0HR,E08000034
0HS,E08000034
0HT,E08000034
0HU,E08000034
0HW,E08000034
0HX,E08000034
0HY,E08000034
0HZ,E08000034
0JA,E08000034
0JB,E08000034
0JD,E08000034
0JE,E08000034
0JF,E08000034
0JG,E08000034
0JH,E08000034
0JJ,E08000034
0JL,E08000034
0JN,E08000034
0JP,E08000034
0JQ,E08000034
0JR,E08000034
0JS,E08000034
0JT,E08000034
0JU,E08000034
0JW,E08000034
0JX,E08000034
0JY,E08000034
0JZ,E08000034
0LA,E08000034
0LB,E08000034
0LD,E08000034
0LE,E08000034
0LF,E08000034
0LG,E08000034
0LH,E08000034
0LJ,E08000034
0LL,E08000034
0LN,E08000034
0LP,E08000034
0LQ,E08000034
0LR,E08000034
0LS,E08000034
0LT,E08000034
0LU,E08000034
0LW,E08000034
0LX,E08000034
0LY,E08000034
0LZ,E08000034
0NA,E08000034
0NB,E08000034
0ND,E08000034
0NE,E08000034
0NF,E08000034
